   6.9384036121024547E-310  ,    6.9532167832554841E-310  ,    2.1558046166487008E-314  , 
   6.9384105890351070E-310  ,    6.9532386225649175E-310  ,    2.2289797629624748E-314  , 
   6.9384175659677593E-310  ,    6.9532604618743509E-310  ,    2.3021549092762488E-314  , 
   6.9384245429004116E-310  ,    6.9532823011837843E-310  ,    2.3753300555900228E-314  , 
   6.9384315198330639E-310  ,    6.9533041404932178E-310  ,    2.4485052019037968E-314  , 
   6.9384384967657162E-310  ,    6.9533259798026512E-310  ,    2.5216803482175707E-314  , 
   6.9384454736983685E-310  ,    6.9533478191120846E-310  ,    2.5948554945313447E-314  , 
   6.9384524506310208E-310  ,    6.9533696584215180E-310  ,    2.6680306408451187E-314  , 
   6.9384594275636731E-310  ,    6.9533914977309514E-310  ,    2.7412057871588927E-314  , 
   6.9384664044963254E-310  ,    6.9534133370403849E-310  ,    2.8143809334726667E-314  , 
   6.9384733814289777E-310  ,    6.9534351763498183E-310  ,    2.8875560797864407E-314  , 
   6.9384803583616300E-310  ,    6.9534570156592517E-310  ,    2.9607312261002147E-314  , 
   6.9384873352942824E-310  ,    6.9534788549686851E-310  ,    3.0339063724139887E-314  , 
   6.9384943122269347E-310  ,    6.9535006942781185E-310  ,    3.1070815187277627E-314  , 
   6.9385012891595870E-310  ,    6.9535225335875520E-310  ,    3.1802566650415367E-314  , 
   6.9385082660922393E-310  ,    6.9535443728969854E-310  ,    3.2534318113553106E-314  , 
   6.9385152430248916E-310  ,    6.9535662122064188E-310  ,    3.3266069576690846E-314  , 
   6.9385222199575439E-310  ,    6.9535880515158522E-310  ,    3.3997821039828586E-314  , 
   6.9385291968901962E-310  ,    6.9536098908252856E-310  ,    3.4729572502966326E-314  , 
   6.9385361738228485E-310  ,    6.9536317301347191E-310  ,    3.5461323966104066E-314  , 
   6.9385431507555008E-310  ,    6.9536535694441525E-310  ,    3.6193075429241806E-314  , 
   6.9385501276881531E-310  ,    6.9536754087535859E-310  ,    3.6924826892379546E-314  , 
   6.9385571046208054E-310  ,    6.9536972480630193E-310  ,    3.7656578355517286E-314  , 
   6.9385640815534577E-310  ,    6.9537190873724528E-310  ,    3.8388329818655026E-314  , 
   6.9385710584861100E-310  ,    6.9537409266818862E-310  ,    3.9120081281792766E-314  , 
   6.9385780354187623E-310  ,    6.9537627659913196E-310  ,    3.9851832744930505E-314  , 
   6.9385850123514146E-310  ,    6.9537846053007530E-310  ,    4.0583584208068245E-314  , 
   6.9385919892840669E-310  ,    6.9538064446101864E-310  ,    4.1315335671205985E-314  , 
   6.9385989662167192E-310  ,    6.9538282839196199E-310  ,    4.2047087134343725E-314  , 
   6.9386059431493715E-310  ,    6.9538501232290533E-310  ,    4.2778838597481465E-314  , 
   6.9386129200820239E-310  ,    6.9538719625384867E-310  ,    4.3510590060619205E-314  , 
   6.9386198970146762E-310  ,    6.9538938018479201E-310  ,    4.4242341523756945E-314  , 
   6.9386268739473285E-310  ,    6.9539156411573535E-310  ,    4.4974092986894685E-314  , 
   6.9386338508799808E-310  ,    6.9539374804667870E-310  ,    4.5705844450032425E-314  , 
   6.9386408278126331E-310  ,    6.9539593197762204E-310  ,    4.6437595913170165E-314  , 
   6.9386478047452854E-310  ,    6.9539811590856538E-310  ,    4.7169347376307904E-314  , 
   6.9386547816779377E-310  ,    6.9540029983950872E-310  ,    4.7901098839445644E-314  , 
   6.9386617586105900E-310  ,    6.9540248377045206E-310  ,    4.8632850302583384E-314  , 
   6.9386687355432423E-310  ,    6.9540466770139541E-310  ,    4.9364601765721124E-314  , 
   6.9386757124758946E-310  ,    6.9540685163233875E-310  ,    5.0096353228858864E-314  , 
   6.9386826894085469E-310  ,    6.9540903556328209E-310  ,    5.0828104691996604E-314  , 
   6.9386896663411992E-310  ,    6.9541121949422543E-310  ,    5.1559856155134344E-314  , 
   6.9386966432738515E-310  ,    6.9541340342516878E-310  ,    5.2291607618272084E-314  , 
   6.9387036202065038E-310  ,    6.9541558735611212E-310  ,    5.3023359081409824E-314  , 
   6.9387105971391561E-310  ,    6.9541777128705546E-310  ,    5.3755110544547564E-314  , 
   6.9387175740718084E-310  ,    6.9541995521799880E-310  ,    5.4486862007685304E-314  , 
   6.9387245510044607E-310  ,    6.9542213914894214E-310  ,    5.5218613470823043E-314  , 
   6.9387315279371130E-310  ,    6.9542432307988549E-310  ,    5.5950364933960783E-314  , 
   6.9387385048697654E-310  ,    6.9542650701082883E-310  ,    5.6682116397098523E-314  , 
   6.9387454818024177E-310  ,    6.9542869094177217E-310  ,    5.7413867860236263E-314  , 
   6.9387524587350700E-310  ,    6.9543087487271551E-310  ,    5.8145619323374003E-314  , 
   6.9387594356677223E-310  ,    6.9543305880365885E-310  ,    5.8877370786511743E-314  , 
   6.9387664126003746E-310  ,    6.9543524273460220E-310  ,    5.9609122249649483E-314  , 
   6.9387733895330269E-310  ,    6.9543742666554554E-310  ,    6.0340873712787223E-314  , 
   6.9387803664656792E-310  ,    6.9543961059648888E-310  ,    6.1072625175924963E-314  , 
   6.9387873433983315E-310  ,    6.9544179452743222E-310  ,    6.1804376639062703E-314  , 
   6.9387943203309838E-310  ,    6.9544397845837556E-310  ,    6.2536128102200442E-314  , 
   6.9388012972636361E-310  ,    6.9544616238931891E-310  ,    6.3267879565338182E-314  , 
   6.9388082741962884E-310  ,    6.9544834632026225E-310  ,    6.3999631028475922E-314  , 
   6.9388152511289407E-310  ,    6.9545053025120559E-310  ,    6.4731382491613662E-314  , 
